DATE,GDPC1,MEDCPIM159SFRBCLE
1998-07-01,12982.752,2.70719925599299
1998-08-01,,2.79513358092132
1998-09-01,,2.8479731464639
1998-10-01,13191.67,2.91924503198049
1998-11-01,,2.8761458868573397
1998-12-01,,2.78629412937257
1999-01-01,13315.597,2.7130304100867497
1999-02-01,,2.6185111095227405
1999-03-01,,2.56825738696629
1999-04-01,13426.748,2.60172414970901
1999-05-01,,2.49132332967625
1999-06-01,,2.32915756513823
1999-07-01,13604.771,2.26107353615534
1999-08-01,,2.1774202712137
1999-09-01,,2.12065509434765
1999-10-01,13827.98,1.9843196336651696
1999-11-01,,1.98388189313845
1999-12-01,,2.03446420694149
2000-01-01,13878.147,2.2252893157050497
2000-02-01,,2.31239282184317
2000-03-01,,2.44325573209452
2000-04-01,14130.908,2.41001442948521
2000-05-01,,2.5050390407484104
2000-06-01,,2.66902984290962
2000-07-01,14145.312,2.7557475315311404
2000-08-01,,2.79865700183524
2000-09-01,,2.8476945374392004
2000-10-01,14229.765,2.93221982266634
2000-11-01,,2.9710889290945
2000-12-01,,3.02895821063807
2001-01-01,14183.12,3.04751700995902
2001-02-01,,3.0517939932702003
2001-03-01,,3.0164638416414498
2001-04-01,14271.694,3.0890160128058897
2001-05-01,,3.1429493001186697
2001-06-01,,3.1745017701843703
2001-07-01,14214.516,3.09089790146286
2001-08-01,,3.16821873349227
2001-09-01,,3.14431304642566
2001-10-01,14253.574,3.26761607327961
2001-11-01,,3.3337282264703303
2001-12-01,,3.2650215878350597
2002-01-01,14372.785,3.15566722108198
2002-02-01,,3.20125876978443
2002-03-01,,3.19127280184617
2002-04-01,14460.848,3.1521611528076297
2002-05-01,,3.0619557696113
2002-06-01,,2.97701012247387
2002-07-01,14519.633,2.96108065475365
2002-08-01,,2.83461652127581
2002-09-01,,2.82921975685193
2002-10-01,14537.58,2.67411842745859
2002-11-01,,2.54651613987025
2002-12-01,,2.59121729143592
2003-01-01,14614.141,2.54282215153498
2003-02-01,,2.42573574570319
2003-03-01,,2.2796939775217004
2003-04-01,14743.567,2.10173080025777
2003-05-01,,1.98936735206978
2003-06-01,,1.8742750831973705
2003-07-01,14988.782,1.909580459667
2003-08-01,,1.9155309528492
2003-09-01,,1.8578433352946395
2003-10-01,15162.76,1.83973700209099
2003-11-01,,1.7791972009376
2003-12-01,,1.6787151630667498
2004-01-01,15248.68,1.6819224376923
2004-02-01,,1.75944027023476
2004-03-01,,1.89332226031762
2004-04-01,15366.85,2.05947464498126
2004-05-01,,2.2379603243700497
2004-06-01,,2.3719513227286897
2004-07-01,15512.619,2.29687303294386
2004-08-01,,2.33973396596336
2004-09-01,,2.35012456668262
2004-10-01,15670.88,2.3971754011020296
2004-11-01,,2.42191071178615
2004-12-01,,2.43166726626507
2005-01-01,15844.727,2.5314782662470896
2005-02-01,,2.56391329288612
2005-03-01,,2.4939989764779305
2005-04-01,15922.782,2.4571167648397996
2005-05-01,,2.45305993747054
2005-06-01,,2.3611709796362796
2005-07-01,16047.587,2.46597867541143
2005-08-01,,2.41177929808494
2005-09-01,,2.56738460231694
2005-10-01,16136.734,2.6230900173012097
2005-11-01,,2.7367392678155698
2005-12-01,,2.76103914380823
2006-01-01,16353.835,2.71643248503701
2006-02-01,,2.61378904003158
2006-03-01,,2.7127076288862
2006-04-01,16396.151,2.77875058626094
2006-05-01,,2.8712471029812097
2006-06-01,,3.0031770446692096
2006-07-01,16420.738,3.0052833661114104
2006-08-01,,3.2046142955134904
2006-09-01,,3.04464767618442
2006-10-01,16561.866,3.07112985841596
2006-11-01,,3.08680132297525
2006-12-01,,3.1304616406014705
2007-01-01,16611.69,3.1371492549126
2007-02-01,,3.3350300669366497
2007-03-01,,3.3020876209185697
2007-04-01,16713.314,3.2585871163577793
2007-05-01,,3.09758274153102
2007-06-01,,3.1032587999718
2007-07-01,16809.587,3.0844175744357596
2007-08-01,,2.88216599519637
2007-09-01,,3.01540340619115
2007-10-01,16915.191,2.9974911018066903
2007-11-01,,3.03496113536683
2007-12-01,,3.05642666916772
2008-01-01,16843.003,3.0830122716651203
2008-02-01,,2.9513586850234104
2008-03-01,,2.9807172143976803
2008-04-01,16943.291,2.97003836832606
2008-05-01,,2.97919523076877
2008-06-01,,3.04425797189236
2008-07-01,16854.295,3.14070966062781
2008-08-01,,3.20404764817441
2008-09-01,,3.1599894269239504
2008-10-01,16485.35,3.05695475383188
2008-11-01,,2.92833535288126
2008-12-01,,2.70760130158023
2009-01-01,16298.262,2.63439355727937
2009-02-01,,2.57484137734063
2009-03-01,,2.48044173259006
2009-04-01,16269.145,2.4486598114032296
2009-05-01,,2.350743451155
2009-06-01,,2.0764117636638897
2009-07-01,16326.281,1.75487969957309
2009-08-01,,1.6459499078894195
2009-09-01,,1.45851562123267
2009-10-01,16502.754,1.3744678667916297
2009-11-01,,1.2560086542785702
2009-12-01,,1.26418766745682
2010-01-01,16582.71,1.12105078444495
2010-02-01,,0.933509744292582
2010-03-01,,0.7505836204389829
2010-04-01,16743.162,0.6337415100528879
2010-05-01,,0.549068462151725
2010-06-01,,0.591292665526266
2010-07-01,16872.266,0.63359692772289
2010-08-01,,0.5344250397888
2010-09-01,,0.585909863925416
2010-10-01,16960.864,0.5805840711646361
2010-11-01,,0.647240401831506
2010-12-01,,0.724769465205566
2011-01-01,16920.632,0.856634338083428
2011-02-01,,1.09937750423461
2011-03-01,,1.26933579705046
2011-04-01,17035.114,1.4190466655756202
2011-05-01,,1.58858040360756
2011-06-01,,1.6437563061091598
2011-07-01,17031.313,1.8027046279778
2011-08-01,,2.03195355644699
2011-09-01,,2.11164122698937
2011-10-01,17222.583,2.18674569870403
2011-11-01,,2.23107699258804
2011-12-01,,2.3131351970716403
2012-01-01,17367.01,2.38991945748512
2012-02-01,,2.29546557179845
2012-03-01,,2.35194124065974
2012-04-01,17444.525,2.35493665242466
2012-05-01,,2.30697834368663
2012-06-01,,2.30658815205833
2012-07-01,17469.65,2.2688197785112103
2012-08-01,,2.20632181111546
2012-09-01,,2.18923937170965
2012-10-01,17489.852,2.17694303511102
2012-11-01,,2.1957465676501102
2012-12-01,,2.14706382940519
